縣市,採樣日期,鄉鎮,禽種,判定日期,亞型,撲殺日期,撲殺隻數
屏東縣,110.01.15,九如鄉,黑羽土雞,110.01.18,H5N5,110.01.18,"7,543"
高雄市,110.01.21,阿蓮區,肉鵝,110.02.01,H5N2,-,0
彰化縣,110.02.04,北斗鎮,種鵝,110.02.06,H5N5,110.02.06,"1,952"
雲林縣,110.02.09,崙背鄉,紅羽土雞,110.02.12,H5N5,110.02.13,"5,734"
雲林縣,110.03.15,臺西鄉,肉鵝,110.03.18,H5N5,110.03.18,461
雲林縣,110.03.18,臺西鄉,肉鵝,110.03.21,H5N5,110.03.22,"2,461"
雲林縣,110.03.30,東勢鄉,肉鵝,110.04.02,H5N5,110.04.02,"2,121"
雲林縣,110.04.06,東勢鄉,種鵝,110.04.09,H5N5,110.04.09,"2,153"
雲林縣,110.05.09,褒忠鄉,黑羽土雞,110.05.13,H5N5,110.05.13,"6,437"
雲林縣,110.05.17,四湖鄉,種鵝、肉鵝,110.05.20,H5N5,110.05.20,"3,388"
雲林縣,110.06.06,古坑鄉,白肉種雞,110.06.10,H5N5,110.06.11,"10,250"
雲林縣,110.07.25,斗六市,白肉種雞,110.07.29,H5N5,110.07.30,"14,631"
雲林縣,110.08.16,麥寮鄉,土番鴨,110.08.19,H5N5,110.08.19,"2,402"
雲林縣,110.09.24,古坑鄉,白肉種雞,110.09.27,H5N5,110.09.28,"17,937"
雲林縣,110.11.16,二崙鄉,肉鵝,110.11.21,H5N2,110.11.22,"1,707"
雲林縣,110.11.29,北港鎮,珍珠雞,110.12.02,H5N2,110.12.02,"19,251"
雲林縣,110.12.04,北港鎮,火雞,110.12.08,H5N2,110.12.08,555
彰化縣,110.12.06,竹塘鄉,蛋雞,110.12.10,H5N2,110.12.11,"16,778"
雲林縣,110.12.11,四湖鄉,種鵝,110.12.15,H5N2、 H5N5,110.12.15,"3,245"
雲林縣,110.12.06,元長鄉,種鵝,110.12.16,H5N2,110.12.17,"1,414"
雲林縣,110.12.14,二崙鄉,黑羽土雞,110.12.17,H5N2,110.12.17,"10,079"
雲林縣,110.12.16,四湖鄉,肉鵝,110.12.19,H5N5,110.12.20,"2,258"
雲林縣,110.12.23,斗六市,白肉種雞,110.12.26,H5N2,110.12.29,"33,983"
彰化縣,110.12.31,大城鄉,蛋中雞,111.01.03,H5N2,111.01.03,"25,680"
彰化縣,110.12.31,芳苑鄉,烏骨雞、紅羽土雞、黑羽土雞,111.01.03,H5N2,111.01.04,"46,759"
